@relation lung-qn-numeric-control-nominal-bottom-random-training-top50

@attribute FAU numeric
@attribute CNPPD1 numeric
@attribute GPX1 numeric
@attribute SSR4 numeric
@attribute ETS2 numeric
@attribute EPB41L2 numeric
@attribute RPS4Y1 numeric
@attribute TDP2 numeric
@attribute LEPROTL1 numeric
@attribute ZMYM2 numeric
@attribute MVD numeric
@attribute DOCK1 numeric
@attribute HEBP2 numeric
@attribute PTPN18 numeric
@attribute PLXNA3 numeric
@attribute PSEN2 numeric
@attribute SLC22A5 numeric
@attribute IPO8 numeric
@attribute HABP2 numeric
@attribute RNH1 numeric
@attribute MAP3K13 numeric
@attribute 206446_s_at numeric
@attribute PPEF1 numeric
@attribute PAGE1 numeric
@attribute CASP7 numeric
@attribute 207759_s_at numeric
@attribute DGKD numeric
@attribute 208426_x_at numeric
@attribute 208525_s_at numeric
@attribute PPP6R1 numeric
@attribute SMPD1 numeric
@attribute CHD8 numeric
@attribute PIAS4 numeric
@attribute LOC92249 numeric
@attribute LOC100506963 numeric
@attribute DOK2 numeric
@attribute 215247_at numeric
@attribute 216093_at numeric
@attribute 216636_at numeric
@attribute 216729_at numeric
@attribute ADAM15 numeric
@attribute ZNF706 numeric
@attribute MUL1 numeric
@attribute RMND5B numeric
@attribute TMEM134 numeric
@attribute TSPAN15 numeric
@attribute EPS8L1 numeric
@attribute CDKN2AIP numeric
@attribute C7orf26 numeric
@attribute RGS17 numeric
@attribute KCTD13 numeric
@attribute controls {0,1}

@data
11.902396,6.597105,11.10252,11.033265,8.592754,7.310933,11.621465,9.061473,7.802848,5.476747,5.647176,6.49232,9.028721,7.319875,4.803643,5.125211,5.418303,5.203581,3.681671,6.359778,4.545363,3.493308,3.575971,3.794536,7.793466,3.217425,7.974243,3.975963,3.368497,6.274403,5.617576,6.595177,5.167375,4.799917,5.208443,7.095213,4.428216,3.293253,3.257242,3.489188,5.496381,8.883696,7.596713,6.475979,6.557423,6.13758,5.081144,5.943142,6.000589,3.499415,4.802379,1
11.804195,6.435122,11.192902,10.902392,9.125613,8.041756,11.560654,8.90682,7.801338,5.201832,5.240119,6.554034,9.06608,7.443184,4.509876,5.391105,5.56558,5.606351,3.866994,6.345565,4.372949,3.552399,3.452564,3.768592,7.875124,3.248784,7.635333,4.105354,3.395713,6.383736,5.623374,6.936867,4.580479,4.582305,5.221913,7.74267,3.935126,3.433972,3.301661,3.709398,5.109681,9.24103,7.387365,6.708976,6.733147,6.816581,5.296373,5.489822,5.999791,3.502355,4.374892,1
11.902396,6.58143,11.162779,10.972649,9.117989,8.07598,11.798676,8.772133,7.778134,6.250151,5.421862,6.532396,9.014141,6.870365,4.910285,5.371375,5.827887,5.762038,4.027633,6.337044,4.522018,3.689265,3.375622,3.816533,7.595464,3.018605,7.312923,3.942743,3.474049,6.025638,5.650967,6.431382,5.028706,4.768335,5.213971,6.846379,4.533315,3.414545,3.449547,3.61621,5.466149,8.934743,7.764872,6.748231,6.921879,6.976377,5.065115,5.663526,5.786073,3.423185,4.613544,0
11.748046,6.464996,11.216258,10.542904,9.481504,8.013596,6.225506,9.694258,7.977129,5.524561,4.570232,6.386227,8.728012,7.271744,4.578076,5.16851,5.487128,5.687233,3.861907,6.175963,4.505176,3.684358,3.509456,4.035344,7.422204,3.213802,7.735613,4.018294,3.310514,6.092931,5.705525,6.483315,4.840354,4.594357,5.469252,7.360044,4.338075,3.460277,3.380443,3.700419,4.998324,9.268405,7.750319,6.370295,6.593474,6.474962,5.155809,5.849339,5.784353,3.608097,4.601035,1
12.193892,6.847388,10.910563,10.56645,8.505977,7.624894,5.860451,8.901242,7.833528,5.14603,5.317463,6.493412,9.071566,6.918997,4.979823,5.290884,5.343528,5.148408,3.899716,6.411682,4.492992,3.647839,3.748265,4.268239,7.830107,3.152177,7.865361,4.062995,3.438758,6.140164,5.464133,6.66564,5.145261,4.717324,5.444558,6.813604,4.318592,3.436858,3.483564,3.593973,5.207504,8.858376,7.567905,6.682784,6.833479,6.958628,5.102069,6.167634,5.931142,3.513219,4.529502,1
11.972335,6.563771,11.29862,11.233915,9.047378,7.762201,11.854154,8.660278,7.829776,6.221432,6.267013,6.325667,8.981818,7.462476,4.70872,5.605618,5.682742,5.674387,3.747296,6.531533,4.912785,3.94193,3.644741,3.854612,7.138488,3.207932,7.4615,3.926828,3.475383,6.164086,5.621989,6.410657,5.014565,4.84702,5.474409,7.096848,4.438527,3.621468,3.191699,3.744416,5.643932,9.284026,7.690754,6.557423,7.16105,7.072024,5.550513,5.551865,5.843782,3.33904,4.496075,0
11.82509,6.466649,11.131595,10.815661,9.359776,7.718415,11.575834,9.138745,7.72052,5.522846,5.131307,6.463248,8.9444,7.111772,4.91057,5.399416,5.739747,5.724835,3.962522,6.285717,4.276934,3.611919,3.421789,3.944994,7.797015,3.168195,8.120293,3.893779,3.352997,5.859292,5.558724,6.601334,5.074508,4.630787,5.277722,7.382263,4.309027,3.376578,3.379936,3.606774,5.318272,9.109424,7.480503,6.354565,6.63009,6.804622,5.289806,6.007407,5.82667,3.430085,4.66718,1
11.519341,6.283759,10.721945,10.627674,8.802265,8.501071,11.407377,8.7844,7.890489,5.87106,5.319929,6.927131,8.646199,6.95132,5.072385,5.088145,6.004838,5.356378,3.944994,6.254805,4.777111,3.944791,3.410657,3.764144,7.779343,3.17054,7.751542,3.906247,3.315017,5.905616,5.398271,6.628049,4.816133,4.558088,5.385666,6.943303,4.214043,3.313474,3.34368,3.563943,5.175829,9.087571,7.517359,6.596328,6.563728,6.343492,4.965878,5.772199,5.72095,3.539826,4.424152,1
11.654148,6.760452,10.58829,10.308586,9.683244,8.225936,11.644611,8.786474,7.686967,5.645146,5.007905,6.921436,8.648924,7.039507,4.38997,5.173103,5.576433,5.847688,3.871513,6.149876,4.817392,3.757118,3.435223,4.470285,7.744722,3.078264,8.070309,3.932406,3.358395,6.276815,5.612275,6.765509,5.115042,4.625932,4.921968,6.851022,4.206136,3.484964,3.305098,3.590811,5.03732,8.843855,7.423239,6.192379,6.547662,6.341057,5.41389,5.769974,5.958055,3.395508,4.566393,1
11.972335,6.699862,10.842198,11.060634,8.478055,8.292209,6.174604,8.747956,8.027022,4.880686,5.496918,6.253184,9.1951,6.982982,4.676243,5.20325,5.565913,4.907324,3.966586,6.519497,4.56247,3.921596,3.515654,3.892468,7.148247,3.155515,8.212897,3.84249,3.534749,6.634612,6.019982,6.808628,5.460082,4.764663,5.18037,7.096156,4.561021,3.319019,3.524857,3.64564,5.430503,8.76999,7.599603,7.070269,6.82287,6.755016,5.165864,5.147043,5.92837,3.466737,4.387624,0
